ID,Kanji,Onyomi,Kunyomi,Meaning
34,訴,そ,うった.える,"Accusation, Sue, Complain Of Pain, Appeal To"
35,株,しゅ,かぶ,"Stocks, Stump, Shares, Stock, Counter For Small Plants"
36,姿,し,すがた,"Figure, Form, Shape"
37,閣,かく,,"Tower, Tall Building, Palace"
38,韓,かん,"から, いげた",Korea
39,衆,"しゅう, しゅ",おお.い,"Masses, Great Numbers, Multitude, Populace"
40,評,ひょう,,"Evaluate, Criticism, Comment"
41,岡,こう,おか,"Mount, Hill, Knoll"
42,影,えい,かげ,"Shadow, Silhouette, Phantom"
43,松,しょう,まつ,Pine Tree
44,撃,げき,う.つ,"Beat, Attack, Defeat, Conquer"
45,佐,さ,,"Assistant, Help"
46,核,かく,,"Nucleus, Core, Kernel"
47,整,せい,"ととの.える, ととの.う","Organize, Arranging, Tune, Tone, Meter, Key (music)"
48,融,ゆう,"と.ける, と.かす","Dissolve, Melt"
49,製,せい,,"Made In..., Manufacture"
50,票,ひょう,,"Ballot, Label, Ticket, Sign"
51,渉,しょう,わた.る,"Ford, Go Cross, Transit, Ferry, Import, Involve"
52,響,きょう,ひび.く,"Echo, Sound, Resound, Ring, Vibrate"
53,推,すい,お.す,"Conjecture, Infer, Guess, Suppose, Support, Push (for)"
54,請,"せい, しん, しょう","こ.う, う.ける","Solicit, Invite, Ask"
55,器,き,うつわ,"Utensil, Vessel, Receptacle, Implement, Instrument, Ability, Container, Tool, Set"
56,士,し,さむらい,"Gentleman, Scholar, Samurai, Samurai Radical (no. 33)"
57,討,とう,う.つ,"Chastise, Attack, Defeat, Destroy, Conquer"
58,攻,こう,せ.める,"Aggression, Attack, Criticize, Polish"
59,崎,き,"さき, さい, みさき","Promontory, Cape, Spit"
60,督,とく,,"Coach, Command, Urge, Lead, Supervise"
61,授,じゅ,"さず.ける, さず.かる","Impart, Instruct, Grant, Confer"
62,催,さい,"もよう.す, もよお.す","Sponsor, Hold (a Meeting), Give (a Dinner)"
63,及,きゅう,"およ.ぶ, およ.び, および, およ.ぼす","Reach Out, Exert, Exercise, Cause"
64,憲,けん,,"Constitution, Law"
65,離,り,"はな.れる, はな.す","Detach, Separation, Disjoin, Digress"
66,激,げき,はげ.しい,"Violent, Get Excited, Enraged, Chafe, Incite"
67,摘,てき,つ.む,"Pinch, Pick, Pluck, Trim, Clip, Summarize"
68,系,けい,,"Lineage, System"
69,批,ひ,,"Criticism, Strike"
70,郎,"ろう, りょう",おとこ,"Son, Counter For Sons"
71,健,けん,すこ.やか,"Healthy, Health, Strength, Persistence"
72,従,"じゅう, しょう, じゅ","したが.う, したが.える, より","Accompany, Obey, Submit To, Comply, Follow, Secondary, Incidental, Subordinate"
73,修,"しゅう, しゅ","おさ.める, おさ.まる","Discipline, Conduct Oneself Well, Study, Master"
74,隊,たい,,"Regiment, Party, Company, Squad"
75,織,"しょく, しき","お.る, お.り, おり, -おり, -お.り","Weave, Fabric"
76,拡,"かく, こう","ひろ.がる, ひろ.げる, ひろ.める","Broaden, Extend, Expand, Enlarge"
77,故,こ,"ゆえ, ふる.い, もと","Happenstance, Especially, Intentionally, Reason, Cause, Circumstances, The Late, Therefore, Consequently"
78,振,しん,"ふ.る, ぶ.る, ふ.り, -ぶ.り, ふ.るう","Shake, Wave, Wag, Swing"
79,弁,"べん, へん","かんむり, わきま.える, わ.ける, はなびら, あらそ.う","Valve, Petal, Braid, Speech, Dialect, Discrimination, Dispose Of, Distinguish, Conical Cap"
80,就,"しゅう, じゅ","つ.く, つ.ける","Concerning, Settle, Take Position, Depart, Study, Per"
81,異,い,"こと, こと.なる, け","Uncommon, Different, Queerness, Strangeness, Wonderful, Curious, Unusual"
82,献,"けん, こん",たてまつ.る,"Offering, Counter For Drinks, Present, Offer"
83,厳,"げん, ごん","おごそ.か, きび.しい, いか.めしい, いつくし","Stern, Strictness, Severity, Rigidity"
84,維,い,,"Fiber, Tie, Rope"
85,浜,ひん,はま,"Seacoast, Beach, Seashore"
86,遺,"い, ゆい",のこ.す,"Bequeath, Leave Behind, Reserve"
87,塁,"るい, らい, すい",とりで,"Bases, Fort, Rampart, Walls, Base(ball)"
88,邦,ほう,くに,"Home Country, Country, Japan"
89,素,"そ, す",もと,"Elementary, Principle, Naked, Uncovered"
90,遣,けん,"つか.う, -つか.い, -づか.い, つか.わす, や.る","Dispatch, Despatch, Send, Give, Donate, Do, Undertake"
91,抗,こう,あらが.う,"Confront, Resist, Defy, Oppose"
92,模,"も, ぼ",,"Imitation, Copy, Mock"
93,雄,ゆう,"お-, おす, おん","Masculine, Male, Hero, Leader, Superiority, Excellence"
94,益,"えき, やく",ま.す,"Benefit, Gain, Profit, Advantage"
95,緊,きん,"し.める, し.まる","Tense, Solid, Hard, Reliable, Tight"
96,標,ひょう,"しるべ, しるし","Signpost, Seal, Mark, Stamp, Imprint, Symbol, Emblem, Trademark, Evidence, Souvenir, Target"
97,宣,せん,のたま.う,"Proclaim, Say, Announce"
98,昭,しょう,,"Shining, Bright"
99,廃,はい,"すた.れる, すた.る","Abolish, Obsolete, Cessation, Discarding, Abandon"
100,伊,い,かれ,"Italy, That One"
101,江,こう,え,"Creek, Inlet, Bay"
102,僚,りょう,,"Colleague, Official, Companion"
103,吉,"きち, きつ",よし,"Good Luck, Joy, Congratulations"
104,盛,"せい, じょう","も.る, さか.る, さか.ん","Boom, Prosper, Copulate"
105,皇,"こう, おう",,Emperor
106,臨,りん,のぞ.む,"Look To, Face, Meet, Confront, Attend, Call On"
107,踏,とう,"ふ.む, ふ.まえる","Step, Trample, Carry Through, Appraise, Evade Payment"
108,壊,"かい, え","こわ.す, こわ.れる, やぶ.る","Demolition, Break, Destroy"
109,債,さい,,"Bond, Loan, Debt"
110,興,"こう, きょう","おこ.る, おこ.す","Entertain, Revive, Retrieve, Interest, Pleasure"
111,源,げん,みなもと,"Source, Origin"
112,儀,ぎ,,"Ceremony, Rule, Affair, Case, A Matter"
113,創,"そう, しょう","つく.る, はじ.める, きず, けず.しける","Genesis, Wound, Injury, Hurt, Start, Originate"
114,障,しょう,さわ.る,"Hinder, Hurt, Harm"
115,継,けい,"つ.ぐ, まま-","Inherit, Succeed, Continue, Patch, Graft (tree)"
116,筋,きん,すじ,"Muscle, Sinew, Tendon, Fiber, Plot, Plan, Descent"
117,狙,"そ, しょ","ねら.う, ねら.い","Aim At, Sight, Shadow, Stalk"
118,闘,とう,"たたか.う, あらそ.う","Fight, War"
119,葬,そう,ほうむ.る,"Interment, Bury, Shelve"
120,避,ひ,"さ.ける, よ.ける","Evade, Avoid, Avert, Ward Off, Shirk, Shun"
121,司,し,つかさど.る,"Director, Official, Govt Office, Rule, Administer"
122,康,こう,,"Ease, Peace"
123,善,ぜん,"よ.い, い.い, よ.く, よし.とする","Virtuous, Good, Goodness"
124,逮,たい,,"Apprehend, Chase"
125,迫,はく,せま.る,"Urge, Force, Imminent, Spur On"
126,惑,わく,まど.う,"Beguile, Delusion, Perplexity"
127,崩,ほう,"くず.れる, -くず.れ, くず.す","Crumble, Die, Demolish, Level"
128,紀,き,,"Chronicle, Account, Narrative, History, Annals, Geologic Period"
129,聴,"ちょう, てい","き.く, ゆる.す","Listen, Headstrong, Naughty, Careful Inquiry"
130,脱,だつ,"ぬ.ぐ, ぬ.げる","Undress, Removing, Escape From, Get Rid Of, Be Left Out, Take Off"
131,級,きゅう,,"Class, Rank, Grade"
132,博,"はく, ばく",,"Dr., Command, Esteem, Win Acclaim, Ph.d., Exposition, Fair"
133,締,てい,"し.まる, し.まり, し.める, -し.め, -じ.め","Tighten, Tie, Shut, Lock, Fasten"
134,救,きゅう,すく.う,"Salvation, Save, Help, Rescue, Reclaim"
135,執,"しつ, しゅう",と.る,"Tenacious, Take Hold, Grasp, Take To Heart"
136,房,ぼう,ふさ,"Tassel, Tuft, Fringe, Bunch, Lock (hair), Segment (orange), House, Room"
137,撤,てつ,,"Remove, Withdraw, Disarm, Dismantle, Reject, Exclude"
138,削,さく,"けず.る, はつ.る, そ.ぐ","Plane, Sharpen, Whittle, Pare, Shave"
139,密,みつ,ひそ.か,"Secrecy, Density (pop), Minuteness, Carefulness"
140,措,そ,お.く,"Set Aside, Give Up, Suspend, Discontinue, Lay Aside, Except"
141,志,し,"シリング, こころざ.す, こころざし","Intention, Plan, Resolve, Aspire, Motive, Hopes, Shilling"
142,載,さい,"の.せる, の.る","Ride, Board, Get On, Place, Spread, 10**44, Record, Publish"
143,陣,じん,,"Camp, Battle Array, Ranks, Position, Sudden, Brief Time"
144,我,が,"われ, わ, わ.が-, わが-","Ego, I, Selfish, Our, Oneself"
145,為,い,"ため, な.る, な.す, す.る, たり, つく.る, なり","Do, Change, Make, Benefit, Welfare, Be Of Use, Reach To, Try, Practice, Cost, Serve As, Good, Advantage, As A Result Of"
146,抑,よく,おさ.える,"Repress, Well, Now, In The First Place, Push, Shove, Press, Seal, Do In Spite Of"
147,幕,"まく, ばく",とばり,"Curtain, Bunting, Act Of Play"
148,染,せん,"そ.める, -ぞ.め, -ぞめ, そ.まる, し.みる, -じ.みる, し.み, -し.める","Dye, Color, Paint, Stain, Print"
149,奈,"な, ない, だい","いかん, からなし","Nara, What?"
150,傷,しょう,"きず, いた.む, いた.める","Wound, Hurt, Injure, Impair, Pain, Injury, Cut, Gash, Scar, Weak Point"
151,択,たく,えら.ぶ,"Choose, Select, Elect, Prefer"
152,秀,しゅう,ひい.でる,"Excel, Excellence, Beauty, Surpass"
153,徴,"ちょう, ち",しるし,"Indications, Sign, Omen, Symptom, Collect, Seek, Refer To, Question"
154,弾,"だん, たん","ひ.く, -ひ.き, はず.む, たま, はじ.く, はじ.ける, ただ.す, はじ.きゆみ","Bullet, Twang, Flip, Snap"
155,償,しょう,つぐな.う,"Reparation, Make Up For, Recompense, Redeem"
156,功,"こう, く",いさお,"Achievement, Merits, Success, Honor, Credit"
157,拠,"きょ, こ",よ.る,"Foothold, Based On, Follow, Therefore"
158,秘,ひ,"ひ.める, ひそ.か, かく.す","Secret, Conceal"
159,拒,"きょ, ご",こば.む,"Repel, Refuse, Reject, Decline"
160,刑,けい,,"Punish, Penalty, Sentence, Punishment"
161,塚,ちょう,"つか, -づか","Hillock, Mound"
162,致,ち,いた.す,"Doth, Do, Send, Forward, Cause, Exert, Incur, Engage"
163,繰,そう,く.る,"Winding, Reel, Spin, Turn (pages), Look Up, Refer To"
164,尾,び,お,"Tail, End, Counter For Fish, Lower Slope Of Mountain"
165,描,びょう,"えが.く, か.く","Sketch, Compose, Write, Draw, Paint"
166,鈴,"れい, りん",すず,"Small Bell, Buzzer"
167,盤,ばん,,"Tray, Shallow Bowl, Platter, Tub, Board, Phonograph Record"
168,項,こう,うなじ,"Paragraph, Nape Of Neck, Clause, Item, Term (expression)"
169,喪,そう,も,"Miss, Mourning"
170,伴,"はん, ばん",ともな.う,"Consort, Accompany, Bring With, Companion"
171,養,"よう, りょう",やしな.う,"Foster, Bring Up, Rear, Develop, Nurture"
172,懸,"けん, け","か.ける, か.かる","State Of Suspension, Hang, Depend, Consult, Distant, Far Apart"
173,街,"がい, かい",まち,"Boulevard, Street, Town"
174,契,けい,ちぎ.る,"Pledge, Promise, Vow"
175,掲,けい,かか.げる,"Put Up (a Notice), Put Up, Hoist, Display, Hang Out, Publish, Describe"
176,躍,やく,おど.る,"Leap, Dance, Skip"
177,棄,き,す.てる,"Abandon, Throw Away, Discard, Resign, Reject, Sacrifice"
178,邸,てい,やしき,"Residence, Mansion"
179,縮,しゅく,"ちぢ.む, ちぢ.まる, ちぢ.める, ちぢ.れる, ちぢ.らす","Shrink, Contract, Shrivel, Wrinkle, Reduce"
180,還,かん,かえ.る,"Send Back, Return"
181,属,"ぞく, しょく","さかん, つく, やから","Belong, Genus, Subordinate Official, Affiliated"
182,慮,りょ,"おもんぱく.る, おもんぱか.る","Prudence, Thought, Concern, Consider, Deliberate, Fear"
183,枠,,わく,"Frame, Framework, Spindle, Spool, Bounding-box, (kokuji)"
184,恵,"けい, え","めぐ.む, めぐ.み","Favor, Blessing, Grace, Kindness"
185,露,"ろ, ろう",つゆ,"Dew, Tears, Expose, Russia"
186,沖,ちゅう,"おき, おきつ, ちゅう.する, わく","Open Sea, Offing, Rise High Into Sky"
187,緩,かん,"ゆる.い, ゆる.やか, ゆる.む, ゆる.める","Slacken, Loosen, Relax, Lessen, Be Moderate, Ease"
188,節,"せつ, せち","ふし, -ぶし, のっと","Node, Season, Period, Occasion, Verse, Clause, Stanza, Honor, Joint, Knuckle, Knob, Knot, Tune, Melody"
189,需,じゅ,,"Demand, Request, Need"
190,射,しゃ,"い.る, さ.す, う.つ","Shoot, Shine Into, Onto, Archery"
191,購,こう,,"Subscription, Buy"
192,揮,き,ふる.う,"Brandish, Wave, Wag, Swing, Shake"
193,充,じゅう,"あ.てる, み.たす","Allot, Fill"
194,貢,"こう, く",みつ.ぐ,"Tribute, Support, Finance"
195,鹿,ろく,"しか, か",Deer
196,却,きゃく,"かえ.って, しりぞ.く, しりぞ.ける","Instead, On The Contrary, Rather, Step Back, Withdraw, Retreat"
197,端,たん,"はし, は, はた, -ばた, はな","Edge, Origin, End, Point, Border, Verge, Cape"
198,賃,ちん,,"Fare, Fee, Hire, Rent, Wages, Charge"
199,獲,かく,え.る,"Seize, Get, Find, Earn, Acquire, Can, May, Able To"
200,郡,ぐん,こおり,"County, District"
201,併,へい,あわ.せる,"Join, Get Together, Unite, Collective"
202,徹,てつ,,"Penetrate, Clear, Pierce, Strike Home, Sit Up (all Night)"
203,貴,き,"たっと.い, とうと.い, たっと.ぶ, とうと.ぶ","Precious, Value, Prize, Esteem, Honor"
204,埼,き,"さき, さい, みさき","Cape, Spit, Promontory"
205,衝,しょう,つ.く,"Collide, Brunt, Highway, Opposition (astronomy), Thrust, Pierce, Stab, Prick"
206,焦,しょう,"こ.げる, こ.がす, こ.がれる, あせ.る","Char, Hurry, Impatient, Irritate, Burn, Scorch, Singe"
207,奪,だつ,うば.う,"Rob, Take By Force, Snatch Away, Dispossess, Plunder, Usurp"
208,災,さい,わざわ.い,"Disaster, Calamity, Woe, Curse, Evil"
209,浦,ほ,うら,"Bay, Creek, Inlet, Gulf, Beach, Seacoast"
210,析,せき,,"Chop, Divide, Tear, Analyze"
211,譲,じょう,ゆず.る,"Defer, Turnover, Transfer, Convey"
212,称,しょう,"たた.える, とな.える, あ.げる, かな.う, はか.り, はか.る, ほめ.る","Appellation, Praise, Admire, Name, Title, Fame"
213,納,"のう, なっ, な, なん, とう","おさ.める, -おさ.める, おさ.まる","Settlement, Obtain, Reap, Pay, Supply, Store"
214,樹,じゅ,き,"Timber, Trees, Wood, Establish, Set Up"
215,挑,ちょう,いど.む,"Challenge, Contend For, Make Love To"
216,誘,ゆう,"さそ.う, いざな.う","Entice, Lead, Tempt, Invite, Ask, Call For, Seduce, Allure"
217,紛,ふん,"まぎ.れる, -まぎ.れ, まぎ.らす, まぎ.らわす, まぎ.らわしい","Distract, Be Mistaken For, Go Astray, Divert"
218,至,し,いた.る,"Climax, Arrive, Proceed, Reach, Attain, Result In"
219,宗,"しゅう, そう",むね,"Religion, Sect, Denomination, Main Point, Origin, Essence"
220,促,そく,うなが.す,"Stimulate, Urge, Press, Demand, Incite"
221,慎,しん,"つつし.む, つつ.ましい, つつし, つつし.み","Humility, Be Careful, Discreet, Prudent"
222,控,こう,"ひか.える, ひか.え","Withdraw, Draw In, Hold Back, Refrain From, Be Moderate"
223,智,ち,,"Wisdom, Intellect, Reason"
224,握,あく,にぎ.る,"Grip, Hold, Mould Sushi, Bribe"
225,宙,ちゅう,,"Mid-air, Air, Space, Sky, Memorization, Interval Of Time"
226,俊,しゅん,,"Sagacious, Genius, Excellence"
227,銭,"せん, ぜん","ぜに, すき","Coin, .01 Yen, Money"
228,渋,"じゅう, しゅう","しぶ, しぶ.い, しぶ.る","Astringent, Hesitate, Reluctant, Have Diarrhea"
229,銃,じゅう,つつ,"Gun, Arms"
230,操,"そう, さん","みさお, あやつ.る","Maneuver, Manipulate, Operate, Steer, Chastity, Virginity, Fidelity"
231,携,けい,"たずさ.える, たずさ.わる","Portable, Carry (in Hand), Armed With, Bring Along"
232,診,しん,み.る,"Checkup, Seeing, Diagnose, Examine"
233,託,たく,"かこつ.ける, かこ.つ, かこ.つける","Consign, Requesting, Entrusting With, Pretend, Hint"
234,撮,さつ,"と.る, つま.む, -ど.り","Snapshot, Take Pictures"
235,誕,たん,,"Nativity, Be Born, Declension, Lie, Be Arbitrary"
236,侵,しん,おか.す,"Encroach, Invade, Raid, Trespass, Violate"
237,括,かつ,くく.る,"Fasten, Tie Up, Arrest, Constrict"
238,謝,しゃ,あやま.る,"Apologize, Thank, Refuse"
239,孝,"こう, きょう",,"Filial Piety, Child's Respect"
240,駆,く,"か.ける, か.る","Drive, Run, Gallop, Advance, Inspire, Impel"
241,透,とう,"す.く, す.かす, す.ける, とう.る, とう.す","Transparent, Permeate, Filter, Penetrate"
242,津,しん,つ,"Haven, Port, Harbor, Ferry"
243,壁,へき,かべ,"Wall, Lining (stomach), Fence"
244,稲,"とう, て","いね, いな-",Rice Plant
245,仮,"か, け","かり, かり-","Sham, Temporary, Interim, Assumed (name), Informal"
246,裂,れつ,"さ.く, さ.ける, -ぎ.れ","Split, Rend, Tear"
247,敏,びん,さとい,"Cleverness, Agile, Alert"
248,是,"ぜ, し","これ, この, ここ","Just So, This, Right, Justice"
249,排,はい,,"Repudiate, Exclude, Expel, Reject, Line Up, Arrange"
250,裕,ゆう,,"Abundant, Rich, Fertile"
251,堅,けん,"かた.い, -がた.い","Strict, Hard, Solid, Tough, Tight, Reliable"
252,訳,やく,わけ,"Translate, Reason, Circumstance, Case"
253,芝,し,しば,"Turf, Lawn"
254,綱,こう,つな,"Hawser, Class (genus), Rope, Cord, Cable"
255,典,"てん, でん",,"Code, Ceremony, Law, Rule"
256,賀,が,,"Congratulations, Joy"
257,扱,"そう, きゅう","あつか.い, あつか.う, あつか.る, こ.く","Handle, Entertain, Thresh, Strip"
258,顧,こ,かえり.みる,"Look Back, Review, Examine Oneself, Turn Around"
259,弘,"こう, ぐ",ひろ.い,"Vast, Broad, Wide"
260,看,かん,み.る,"Watch Over, See"
261,訟,しょう,,"Sue, Accuse"
262,戒,かい,いまし.める,Commandment
263,祉,し,,"Welfare, Happiness"
264,誉,よ,"ほま.れ, ほ.める","Reputation, Praise, Honor, Glory"
265,歓,かん,よろこ.ぶ,"Delight, Joy"
266,奏,そう,かな.でる,"Play Music, Speak To A Ruler, Complete"
267,勧,"かん, けん",すす.める,"Persuade, Recommend, Advise, Encourage, Offer"
268,騒,そう,"さわ.ぐ, うれい, さわ.がしい","Boisterous, Make Noise, Clamor, Disturb, Excite"
269,閥,ばつ,,"Clique, Lineage, Pedigree, Faction, Clan"
270,甲,"こう, かん",きのえ,"Armor, High (voice), A Grade, First Class, Former, Instep, Carapace"
271,縄,じょう,"なわ, ただ.す","Straw Rope, Cord"
272,郷,"きょう, ごう",さと,"Home Town, Village, Native Place, District"
273,揺,よう,"ゆ.れる, ゆ.る, ゆ.らぐ, ゆ.るぐ, ゆ.する, ゆ.さぶる, ゆ.すぶる, うご.く","Swing, Shake, Sway, Rock, Tremble, Vibrate"
274,免,めん,"まぬか.れる, まぬが.れる","Excuse, Dismissal"
275,既,き,すで.に,"Previously, Already, Long Ago"
276,薦,せん,すす.める,"Recommend, Mat, Advise, Encourage, Offer"
277,隣,りん,"とな.る, となり",Neighboring
278,華,"か, け",はな,"Splendor, Flower, Petal, Shine, Luster, Ostentatious, Showy, Gay, Gorgeous"
279,範,はん,,"Pattern, Example, Model"
280,隠,"いん, おん","かく.す, かく.し, かく.れる, かか.す, よ.る","Conceal, Hide, Cover"
281,徳,とく,,"Benevolence, Virtue, Goodness, Commanding Respect"
282,哲,てつ,"さとい, あきらか","Philosophy, Clear"
283,杉,さん,すぎ,"Cedar, Cryptomeria"
284,里,り,さと,"Ri, Village, Parent's Home, League"
285,釈,"しゃく, せき","とく, す.てる, ゆる.す",Explanation
286,己,"こ, き","おのれ, つちのと, な",Self
287,妥,だ,,"Gentle, Peace, Depravity"
288,威,い,"おど.す, おど.し, おど.かす","Intimidate, Dignity, Majesty, Menace, Threaten"
289,豪,ごう,えら.い,"Overpowering, Great, Powerful, Excelling, Australia"
290,熊,ゆう,くま,Bear
291,滞,"たい, てい",とどこお.る,"Stagnate, Be Delayed, Overdue, Arrears"
292,微,び,かす.か,"Delicate, Minuteness, Insignificance"
293,隆,りゅう,,"Hump, High, Noble, Prosperity"
294,症,しょう,,"Symptoms, Illness"
295,暫,ざん,しばら.く,"Temporarily, A While, Moment, Long Time"
296,忠,ちゅう,,"Loyalty, Fidelity, Faithfulness"
297,倉,そう,くら,"Godown, Warehouse, Storehouse, Cellar, Treasury"
298,彦,げん,ひこ,"Lad, Boy (ancient)"
299,肝,かん,きも,"Liver, Pluck, Nerve, Chutzpah"
300,喚,かん,わめ.く,"Yell, Cry, Call, Scream, Summon"
301,沿,えん,"そ.う, -ぞ.い","Run Alongside, Follow Along, Run Along, Lie Along"
302,妙,"みょう, びょう",たえ,"Exquisite, Strange, Queer, Mystery, Miracle, Excellent, Delicate, Charming"
303,唱,しょう,とな.える,"Chant, Recite, Call Upon, Yell"
304,阿,"あ, お","おもね.る, くま","Africa, Flatter, Fawn Upon, Corner, Nook, Recess"
305,索,さく,,"Cord, Rope, Searching, Inquiring"
306,誠,せい,まこと,"Sincerity, Admonish, Warn, Prohibit, Truth, Fidelity"
307,襲,しゅう,"おそ.う, かさ.ね","Attack, Advance On, Succeed To, Pile, Heap"
308,懇,こん,ねんご.ろ,"Sociable, Kind, Courteous, Hospitable, Cordial"
309,俳,はい,,"Haiku, Actor"
310,柄,へい,"がら, え, つか","Design, Pattern, Build, Nature, Character, Handle, Crank, Grip, Knob, Shaft"
311,驚,きょう,"おどろ.く, おどろ.かす","Wonder, Be Surprised, Frightened, Amazed"
312,麻,"ま, まあ",あさ,"Hemp, Flax, Numb"
313,李,り,すもも,Plum
314,浩,こう,"おおき.い, ひろ.い","Wide Expanse, Abundance, Vigorous"
315,剤,"ざい, すい, せい","かる, けず.る","Dose, Medicine, Drug"
316,瀬,らい,せ,"Rapids, Current, Torrent, Shallows, Shoal"
317,趣,しゅ,"おもむき, おもむ.く","Purport, Gist, Elegance, Interest, Proceed To, Tend, Become"
318,陥,かん,"おちい.る, おとしい.れる","Collapse, Fall Into, Cave In, Fall (castle), Slide Into"
319,斎,さい,"とき, つつし.む, ものいみ, い.む, いわ.う, いつ.く","Purification, Buddhist Food, Room, Worship, Avoid, Alike"
320,貫,かん,"つらぬ.く, ぬ.く, ぬき","Pierce, 8 1/3lbs, Penetrate, Brace"
321,仙,"せん, せんと",,"Hermit, Wizard, Cent"
322,慰,い,"なぐさ.める, なぐさ.む","Consolation, Amusement, Seduce, Cheer, Make Sport Of, Comfort, Console"
323,序,じょ,"つい.で, ついで","Preface, Beginning, Order, Precedence, Occasion, Chance, Incidentally"
324,旬,"じゅん, しゅん",,"Decameron, Ten-day Period, Season (for Specific Products)"
325,兼,けん,"か.ねる, -か.ねる","Concurrently, And, Beforehand, In Advance"
326,聖,"せい, しょう",ひじり,"Holy, Saint, Sage, Master, Priest"
327,旨,し,"むね, うま.い","Delicious, Relish, Show A Liking For, Purport, Will, Clever, Expert"
328,即,そく,"つ.く, つ.ける, すなわ.ち","Instant, Namely, As Is, Conform, Agree, Adapt"
329,柳,りゅう,やなぎ,Willow
330,舎,"しゃ, せき",やど.る,"Cottage, Inn, Hut, House, Mansion"
331,偽,"ぎ, か","いつわ.る, にせ, いつわ.り","Falsehood, Lie, Deceive, Pretend, Counterfeit, Forgery"
332,較,"かく, こう",くら.べる,"Contrast, Compare"
333,覇,"は, はく",はたがしら,"Hegemony, Supremacy, Leadership, Champion"
334,畑,,"はた, はたけ, -ばたけ","Farm, Field, Garden, One's Specialty, (kokuji)"
335,詳,しょう,"くわ.しい, つまび.らか","Detailed, Full, Minute, Accurate, Well-informed"
336,抵,てい,,"Resist, Reach, Touch"
337,脅,きょう,"おびや.かす, おど.す, おど.かす","Threaten, Coerce"
338,茂,も,しげ.る,"Overgrown, Grow Thick, Be Luxuriant"
339,犠,"ぎ, き",いけにえ,Sacrifice
340,旗,き,はた,"National Flag, Banner, Standard"
341,距,きょ,"へだ.たる, けづめ","Long-distance, Spur, Fetlock"
342,雅,が,みや.び,"Gracious, Elegant, Graceful, Refined"
343,飾,しょく,"かざ.る, かざ.り","Decorate, Ornament, Adorn, Embellish"
344,網,もう,あみ,"Netting, Network"
345,竜,"りゅう, りょう, ろう","たつ, いせ","Dragon, Imperial"
346,詩,し,うた,"Poem, Poetry"
347,繁,はん,"しげ.る, しげ.く","Luxuriant, Thick, Overgrown, Frequency, Complexity, Trouble"
348,翼,よく,つばさ,"Wing, Plane, Flank"
349,茨,"し, じ","いばら, かや, くさぶき","Briar, Thorn"
350,潟,せき,"かた, -がた",Lagoon
351,敵,てき,"かたき, あだ, かな.う","Enemy, Foe, Opponent"
352,魅,み,,"Fascination, Charm, Bewitch"
353,嫌,"けん, げん","きら.う, きら.い, いや","Dislike, Detest, Hate"
