ID,Kanji,Onyomi,Kunyomi,Meaning
1,氏,し,"うじ, -うじ","Family Name, Surname, Clan"
2,統,とう,"す.べる, ほび.る","Overall, Relationship, Ruling, Governing"
3,基,き,"もと, もとい","Fundamentals, Radical (chem), Counter For Machines, Foundation"
4,価,"か, け",あたい,"Value, Price"
5,提,"てい, ちょう, だい",さ.げる,"Propose, Take Along, Carry In Hand"
6,挙,きょ,"あ.げる, あ.がる, こぞ.る","Raise, Plan, Project, Behavior, Actions"
7,応,"おう, よう, -のう","あた.る, まさに, こた.える","Apply, Answer, Yes, Ok, Reply, Accept"
8,企,き,"くわだ.てる, たくら.む","Undertake, Scheme, Design, Attempt, Plan"
9,検,けん,しら.べる,"Examination, Investigate"
10,藤,"とう, どう",ふじ,Wisteria
11,沢,たく,"さわ, うるお.い, うるお.す, つや","Swamp, Marsh, Brilliance, Grace"
12,裁,さい,"た.つ, さば.く","Tailor, Judge, Decision, Cut Out (pattern)"
13,証,しょう,あかし,"Evidence, Proof, Certificate"
14,援,えん,,"Abet, Help, Save"
15,可,"か, こく","-べ.き, -べ.し","Can, Passable, Mustn't, Should Not, Do Not"
16,施,"し, せ",ほどこ.す,"Give, Bestow, Perform, Alms"
17,井,"せい, しょう",い,"Well, Well Crib, Town, Community"
18,護,ご,まも.る,"Safeguard, Protect"
19,展,てん,,"Unfold, Expand"
20,態,たい,わざ.と,"Attitude, Condition, Figure, Appearance, Voice (of Verbs)"
21,鮮,せん,あざ.やか,"Fresh, Vivid, Clear, Brilliant, Korea"
22,視,し,み.る,"Inspection, Regard As, See, Look At"
23,条,"じょう, ちょう, でき","えだ, すじ","Article, Clause, Item, Stripe, Streak"
24,幹,かん,みき,"Tree Trunk, Main Part, Talent, Capability"
25,独,"どく, とく",ひと.り,"Single, Alone, Spontaneously, Germany"
26,宮,"きゅう, ぐう, く, くう",みや,"Shinto Shrine, Constellations, Palace, Princess"
27,率,"そつ, りつ, しゅつ",ひき.いる,"Ratio, Rate, Proportion, %, Factor, Lead, Spearhead, Command"
28,衛,"えい, え",,"Defense, Protection"
29,張,ちょう,"は.る, -は.り, -ば.り","Lengthen, Counter For Bows & Stringed Instruments, Stretch, Spread, Put Up (tent)"
30,監,かん,,"Oversee, Official, Govt Office, Rule, Administer"
31,環,かん,わ,"Ring, Circle, Link, Wheel"
32,審,しん,"つまび.らか, つぶさ.に","Hearing, Judge, Trial"
33,義,ぎ,,"Righteousness, Justice, Morality, Honor, Loyalty, Meaning"
