ID,Kanji,Onyomi,Kunyomi,Meaning
1,日,"nichi, jitsu","hi, -bi, -ka","day, sun, Japan, counter for days"
2,一,ichi,hito(tsu),one
3,国,koku,kuni,country
4,人,"jin, nin",hito,person
5,年,nen,toshi,"year, counter for years"
6,大,"dai, tai",oo(kii),"large, big"
7,十,juu,"tou, to","ten, 10"
8,二,"ni, ji","futa(tsu), futatabi","two, 2"
9,本,hon,moto,"book, present, true, counter for long cylindrical things"
10,中,chuu,"naka, uchi","in, inside, middle, mean, center"
11,長,chou,"naga(i), osa","long, leader, superior, senior"
12,出,"shutsu, sui","de(ru), da(su)","exit, leave, go out"
13,三,san,mi(tsu),"three, 3"
14,時,ji,"toki, doki","time, hour"
15,行,"kou, gyou","i(ku), yu(ku), okona(u)","going, journey, carry out, line, row"
16,見,ken,"mi(ru), mi(seru)","see, hopes, chances, idea, opinion, visible"
17,月,"getsu, gatsu",tsuki,"month, moon"
18,分,"bun, fun, bu",wa(keru),"part, minute of time, understand"
19,後,"go, kou","nochi, ushi(ro), ato","behind, back, later"
20,前,zen,mae,"in front, before"
21,生,"sei, shou","i(kiru), u(mu), o(u), ha(eru), nama","life, genuine, birth"
22,五,go,itsu(tsu),"five, 5"
23,間,"kan, ken","aida, ma, ai","interval, space"
24,上,"jou, shou, shan","ue, uwa, kami, a(geru), nobo(ru)","above, up"
25,東,tou,higashi,east
26,四,shi,"yo(tsu), yon","four, 4"
27,今,"kon, kin",ima,"the present, now"
28,金,"kin, kon, gon","kane, kana, gane",gold
29,九,"kyuu, ku",kokono(tsu),"nine, 9"
30,入,nyuu,"i(ru), hai(ru)","enter, insert"
31,学,gaku,mana(bu),"study, learning, science"
32,高,kou,taka(i),"tall, high, expensive"
33,円,en,maru(i),"circle, yen, round"
34,子,"shi, su, tsu","ko, ne",child
35,外,"gai, ge","soto, hoka, hazu(su)",outside
36,八,hachi,"ya(tsu), you","eight, 8"
37,六,roku,"mu(tsu), mui","six, 6"
38,下,"ka, ge","shita, shimo, moto, sa(geru), kuda(ru), o(rosu)","below, down, descend, give, low, inferior"
39,来,"rai, tai","kuru, ki, ko","come, due, next, cause, become"
40,気,"ki, ke",iki,"spirit, mind, air, atmosphere, mood"
41,小,shou,"chii(sai), ko","little, small"
42,七,shichi,"nana(tsu), nano","seven, 7"
43,山,,yama,mountain
44,話,wa,"hana(su), hanashi","tale, talk"
45,女,jo,"onna, me","woman, female"
46,北,hoku,kita,north
47,午,go,uma,"noon, sign of the horse"
48,百,"hyaku, byaku",momo,hundred
49,書,sho,kaku,write
50,先,sen,"saki, ma(zu)","before, ahead, previous, future, precedence"
51,名,"mei, myou",na,"name, noted, distinguished, reputation"
52,川,sen,kawa,"river, stream"
53,千,sen,chi,thousand
54,聞,"bun, mon",ki(ku),to hear; to listen; to ask
55,水,sui,mizu,water
56,半,han,naka(ba),"half, middle, odd number, semi-"
57,男,"dan, nan","otoko, o",male; man
58,西,"sei, sai",nishi,west
59,電,den,,electricity; electric powered
60,語,go,kata(ru),"word, speech, language"
61,土,"do, to",tsuchi,"soil, earth, ground"
62,木,"boku, moku","ki, ko","tree, wood"
63,食,"shoku, jiki","k(u), ta(beru)","eat, food"
64,車,sha,kuruma,"car, wheel"
65,何,ka,"nani, nan",what
66,南,"nan, na",minami,south
67,万,"man, ban",,"ten thousand, 10,000"
68,校,kou,,"school, exam"
69,每,mai,goto(ni),every
70,白,"haku, byaku",shiro(i),white
71,天,ten,amatsu,"heavens, sky, imperial"
72,母,bo,"haha, kaa",mother
73,火,ka,"hi, bi, ho",fire
74,右,"u, yuu",migi,right (direction)
75,読,"doku, toku, tou",yo(mu),to read
76,友,yuu,tomo,friend
77,左,"sa, sha",hidari,left
78,休,kyuu,yasu(mu),"rest, day off, retire, sleep"
79,父,fu,"chichi, tou",father
80,雨,u,"ame, ama",rain
