ID,Kanji,Onyomi,Kunyomi,Meaning
121,供,"kyou, ku, kuu","sona(eru), tomo","submit, offer, present, accompany"
122,役,"yaku, eki",,"duty, service, role"
123,構,kou,kama(eru),"posture, build, pretend"
124,割,katsu,"wa(ru), wari","proportion, divide, cut, separate"
125,身,shin,mi,"somebody, person"
126,費,hi,tsui(yasu),"expense, consume"
127,付,fu,tsu(keru),"adhere, attach, refer to"
128,由,"yu, yuu","yoshi, yo(ru)","wherefore, a reason"
129,説,"setsu, zei",to(ku),"opinion, theory, explanation"
130,難,nan,"kata(i), muzuka(shii)","difficult, trouble, accident"
131,優,"yuu, u","yasa(shii), sugu(reru)","tenderness, kind, actor"
132,夫,fu,otto,"husband, man"
133,収,shuu,osa(meru),"income, obtain, reap, pay, supply, store"
134,断,dan,"ta(tsu), kotowa(ru)","severance, decline, refuse, apologize"
135,石,"seki, shaku, koku",ishi,stone
136,違,i,"chiga(u), taga(u)","difference, differ"
137,消,shou,"ki(eru), ke(su)","extinguish, turn off"
138,神,"shin, jin",kami,"gods, mind, soul"
139,番,ban,tsugai,"turn, number in a series"
140,規,ki,,"standard, measure"
141,術,jutsu,sube,"art, technique, skill, means, trick"
142,備,bi,sona(eru),"equip, provision, preparation"
143,宅,taku,,"home, house, residence"
144,害,gai,,"harm, injury"
145,配,hai,kuba(ru),"distribute, spouse"
146,警,kei,,"admonish, commandment"
147,育,iku,"soda(tsu), haguku(mu)","bring up, grow up, raise"
148,席,seki,mushiro,seat
149,訪,hou,"otozu(reru), tazu(neru)","call on, visit"
150,乗,"jou, shou",no(ru),ride
151,残,zan,noko(ru),"remainder, balance"
152,想,"sou, so",omo(u),"concept, think, idea"
153,声,"sei, shou",koe,voice
154,助,jo,tasu(keru),"help, rescue, assist"
155,労,rou,"itawa(ru), negira(u)","labor, thank for"
156,例,rei,tato(eba),example
157,然,"zen, nen","shika, sa","sort of thing, if so"
158,限,gen,kagi(ru),"limit, restrict"
159,追,tsui,o(u),"chase, drive away"
160,商,shou,akina(u),"deal, selling, merchant"
161,葉,you,ha,"leaf, plane, needle, blade, counter for flat things"
162,伝,den,tsuta(waru),"transmit, follow, report, legend, tradition"
163,働,dou,hatara(ku),work
164,形,"kei, gyou","kata, katachi, nari","shape, form, style"
165,景,kei,,"scenery, view"
166,落,raku,o(chiru),"fall, drop"
167,好,kou,"kono(mu), su(ku)","fond, pleasing, like something"
168,退,tai,"shirizo(ku), hi(ku), no(keru), do(ku)","retreat, withdraw, retire, resign, repel, expel, reject"
169,頭,"tou, zu, to","atama, kashira",head
170,負,fu,"ma(keru), o(u)","defeat, negative, minus, assume a responsibility"
171,渡,to,wata(ru),"transit, ferry, cross"
172,失,shitsu,"ushina(u), u(seru)","lose, error, fault, disadvantage, loss"
173,差,sa,sa(su),"distinction, difference, variation"
174,末,matsu,sue,"end, close, tip"
175,守,"shu, su","mamo(ru), mori","guard, protect, obey"
176,若,jaku,"waka(i), mo(shi)",young
177,種,shu,"tane, -gusa","species, kind, class, seed"
178,美,"bi, mi",utsuku(shii),"beauty, beautiful"
179,命,"mei, myou",inochi,"fate, command"
180,福,fuku,,"blessing, fortune, luck, wealth"
181,望,bou,"nozo(mu), mochi","ambition, full moon, hope, desire, aspire to, expect"
182,非,hi,ara(zu),"un-, mistake, negative"
183,観,kan,mi(ru),"outlook, appearance, condition"
184,察,satsu,,"guess, presume, judge"
185,段,dan,,"grade, steps, stairs"
186,横,ou,yoko,"sideways, side"
187,深,shin,fuka(i),"deep, heighten"
188,申,shin,"mou(su), saru",have the honor to
189,様,you,"sama, san","manner, situation, polite suffix"
190,財,"zai, sai, zoku",,"property, money, wealth, assets"
191,港,kou,minato,"harbor, port"
192,識,shiki,shi(ru),know
193,呼,ko,yo(bu),"call, invite"
194,達,"tatsu, da",-tachi,"accomplished, reach, arrive, attain"
195,良,ryou,"yo(i), i(i)",good
196,阪,han,saka,"heights, slope"
197,候,kou,,"climate, season, weather"
198,程,tei,hodo,"extent, degree"
199,満,man,mi(chiru),"full, fullness, enough, satisfy"
200,敗,hai,yabu(reru),"failure, defeat"
201,値,chi,"ne, atai","price, cost, value"
202,突,"totsu, ka",tsu(ku),"stab, protruding, thrust"
203,光,kou,"hika(ru), hikari","ray, light"
204,路,"ro, ru",michi,"path, route, road"
205,科,ka,,"department, course, section"
206,積,seki,tsu(mu),"volume, contents, pile up, stack"
207,他,ta,hoka,"other, another"
208,処,sho,,"dispose, manage, deal with"
209,太,"tai, ta",futo(i),"plump, thick, big around"
210,客,"kyaku, kaku",,"guest, visitor, customer"
211,否,hi,"ina, iya","negate, no, decline"
212,師,shi,ikusa,"expert, teacher, master"
213,登,"tou, to","nobo(ru), a(garu)","ascend, climb up"
214,易,"eki, i","yasa(shii), yasu(i)","easy, ready to, simple"
215,速,soku,haya(i),"quick, fast"
216,存,"son, zon",,"exist, be aware of"
217,飛,hi,to(bu),fly
218,殺,"satsu, sai",koro(su),"kill, murder"
219,号,gou,,"number, item"
220,単,tan,hitoe,"simple, single"
221,座,za,suwa(ru),"squat, seat, sit"
222,破,ha,yabu(ru),"rip, tear, break"
223,除,"jo, ji",nozo(ku),"exclude, remove"
224,完,kan,,"perfect, completion"
225,降,"kou, go","o(riru), fu(ru)","descend, precipitate, fall, surrender"
226,責,seki,se(meru),"blame, condemn"
227,捕,ho,"to(raeru), tsuka(maeru)","catch, capture"
228,危,ki,"abu(nai), aya(ui)","dangerous, fear, uneasy"
229,給,kyuu,"tama(u), tamo(u)","salary, wage, gift"
230,苦,ku,"kuru(shii), niga(i)","suffering, bitter"
231,迎,gei,muka(eru),"welcome, meet, greet"
232,園,en,sono,"park, garden, yard"
233,具,gu,"sona(eru), tsubasa(ni)","tool, utensil"
234,辞,ji,ya(meru),"resign, word, term"
235,因,in,"yo(ru), china(mu)","cause, factor, depend on"
236,馬,ba,uma,horse
237,愛,ai,"ito(shii), mana","love, affection"
238,富,"fu, fuu","to(mu), tomi","wealth, enrich, abundant"
239,彼,hi,"kare, kano","he, him"
240,未,"mi, bi","ima(da), ma(da)","un-, not yet"
241,舞,bu,"ma(u), mai","dance, circle"
242,亡,"bou, mou",na(kunaru),"deceased, dying"
243,冷,rei,"tsume(tai), hi(eru), sa(meru)","cold, chill"
244,適,teki,kana(u),"suitable, occasional, rare"
245,婦,fu,yome,"lady, woman, wife"
246,寄,ki,yo(ru),"draw near, gather"
247,込,,ko(mu),"crowded, mixture"
248,顔,gan,kao,"face, expression"
249,類,rui,tagu(i),"sort, kind, variety, class, genus"
250,余,yo,ama(ru),"too much, surplus"
251,王,ou,,"king, rule"
252,返,hen,kae(su),"return, answer"
253,妻,sai,tsuma,"wife, spouse"
254,背,hai,"se, sei","stature, height, back"
255,熱,netsu,atsu(i),"heat, fever, passion"
256,宿,shuku,yado,"inn, lodging"
257,薬,yaku,kusuri,"medicine, chemical"
258,険,ken,kewa(shii),"precipitous, inaccessible place"
259,頼,rai,"tano(mu), tayo(ru)","trust, request"
260,覚,kaku,"obo(eru), sa(masu)","memorize, learn, remember, awake"
261,船,sen,"fune, funa","ship, boat"
262,途,to,michi,"route, way, road"
263,許,kyo,yuru(su),"permit, approve"
264,抜,batsu,nu(ku),"slip out, extract, pull out, remove"
265,便,"ben, bin",tayo(ri),"convenience, facility"
266,留,"ryuu, ru","to(maru), todo(meru)","detain, fasten, halt, stop"
267,罪,zai,tsumi,"guilt, sin, crime"
268,努,do,tsuto(meru),"toil, diligent, as much as possible"
269,精,"sei, shou",shira(geru),"refined, ghost, fairy, energy"
270,散,san,"chi(ru), bara(keru)","scatter, disperse"
271,静,"sei, jou",shizu(ka),quiet
272,婚,kon,,marriage
273,喜,ki,yoroko(bu),"rejoice, take pleasure in"
274,浮,fu,u(kabu),"float, rise to surface"
275,絶,zetsu,ta(eru),"discontinue, unparalleled"
276,幸,kou,"saiwa(i), sachi, shiawa(se)","happiness, blessing, fortune"
277,押,ou,o(su),push
278,倒,tou,tao(reru),"overthrow, fall, collapse"
279,等,tou,"hito(shii), nado","etc., and so forth"
280,老,rou,"o(iru), fu(keru)",old
281,曲,kyoku,ma(garu),"bend, music, melody"
282,払,"hutsu, hitsu",hara(u),pay
283,庭,tei,niwa,"courtyard, garden, yard"
284,徒,to,,"on foot, junior"
285,勤,"kin, gon",tsuto(meru),"diligence, employed, serve"
286,遅,chi,"oku(reru), oso(i)","slow, late, back, later"
287,居,"kyo, ko","i(ru), o(ru)","reside, to be, exist"
288,雑,"zatsu, zou",maji(ru),miscellaneous
289,招,shou,mane(ku),"invite, summon, engage"
290,困,kon,koma(ru),"quandary, become distressed"
291,欠,"ketsu, ken",ka(keru),"lack, gap"
292,更,kou,"sara(ni), fu(keru)","renew, renovate, again"
293,刻,koku,kiza(mu),"engrave, cut fine, chop"
294,賛,san,,"approve, praise"
295,抱,hou,"da(ku), ida(ku), kaka(eru)","embrace, hug"
296,犯,han,oka(su),"crime, sin, offense"
297,恐,kyou,"oso(reru), kowa(i)","fear, dread"
298,息,soku,iki,"breath, son, interest (on money)"
299,遠,"en, on",too(i),"distant, far"
300,戻,rei,modo(ru),"re-, return, revert"
301,願,gan,nega(u),"petition, request, wish"
302,絵,"kai, e",,"picture, drawing"
303,越,etsu,ko(su),"surpass, cross over, move to, exceed"
304,欲,yoku,ho(shii),"longing, greed, passion"
305,痛,tsuu,ita(i),"pain, hurt, damage, bruise"
306,笑,shou,"wara(u), e(mu)",laugh
307,互,go,"taga(i), katami(ni)","mutually, reciprocally, together"
308,束,soku,"taba, tsuka","bundle, manage"
309,似,"ji, ne",ni(ru),"becoming, resemble, imitate"
310,列,"retsu, re",,"file, row, column"
311,探,tan,"sagu(ru), saga(su)","search, look for"
312,逃,tou,"ni(geru), noga(su)","escape, flee"
313,遊,yuu,aso(bu),play
314,迷,mei,mayo(u),"astray, be perplexed, in doubt, lost"
315,夢,mu,yume,"dream, vision"
316,君,kun,kimi,"you, male name suffix"
317,閉,hei,"to(jiru), shi(meru)","closed, shut"
318,緒,sho,o,"beginning, end, cord, strap"
319,折,"setsu, shaku","o(ru), ori","fold, break, fracture"
320,草,sou,kusa,"grass, weeds, herbs"
321,暮,bo,ku(rasu),"evening, livelihood"
322,酒,shu,sake,"sake, alcohol"
323,悲,hi,kana(shii),"grieve, sad"
324,晴,sei,ha(reru),clear up
325,掛,kei,ka(karu),"hang, suspend"
326,到,tou,ita(ru),"arrival, proceed, reach"
327,寝,shin,ne(ru),"lie down, sleep, rest"
328,暗,an,kura(i),"darkness, disappear, shade, informal"
329,盗,tou,nusu(mu),"steal, rob"
330,吸,kyuu,su(u),"inhale, suck"
331,陽,you,hi,"sunshine, positive"
332,御,"gyo, go","on, o",honorable
333,歯,shi,ha,"tooth, cog"
334,忘,bou,wasu(reru),forget
