ID,Kanji,Onyomi,Kunyomi,Meaning
1,党,トウ,なかま、むら,"party, faction, clique"
2,協,キョウ,,"co-, cooperation"
3,総,ソウ,すべ(て)、ふさ,"general, whole, all"
4,区,ク,,"ward, district"
5,領,リョウ,えり,"jurisdiction, dominion"
6,県,ケン,か(ける),prefecture
7,設,セツ,もう(ける),"establishment, provision"
8,保,ホ、ホウ,たも(つ),"protect, guarantee, keep"
9,改,カイ,あらた(める),"reformation, change, modify"
10,第,ダイ,,"No., number"
11,結,ケツ,むす(ぶ)、ゆ(う),"tie, bind, contract"
12,派,ハ,,"faction, group, party"
13,府,フ,,"borough, urban prefecture, govt office"
14,査,サ,,investigate
15,委,イ,ゆだ(ねる),"committee, entrust to"
16,軍,グン,いくさ,"army, force, troops"
17,案,アン,つくえ,"plan, suggestion, draft"
18,策,サク,,"scheme, plan, policy"
19,団,ダン、トン,かたまり、まる(い),"group, association"
20,各,カク,おのおの,each; every; either
21,島,トウ,しま,island
22,革,カク,かわ,leather; skin; reform; become serious
23,村,ソン,むら,village; town
24,勢,セイ,いきお(い),forces; energy; military strength
25,減,ゲン,へ(る),dwindle; decrease; reduce
26,再,サイ、サ,ふたた(び),"again, twice, second time"
27,税,ゼイ,,tax; duty
28,営,エイ,いとな(む),occupation; perform; build; conduct (business)
29,比,ヒ,くら(べる),compare; race; ratio
30,防,ボウ,ふせ(ぐ),ward off; defend; protect; resist
31,補,ホ,おぎな(う),supplement; supply; offset; compensate
32,境,キョウ,さかい,"boundary, border, region"
33,導,ドウ,みちび(く),guidance; leading; conduct; usher
34,副,フク,,vice-; assistant; aide; duplicate; copy
35,算,サン,そろ,calculate; divining; number; probability
36,輸,ユ、シュ,,"transport, send, be inferior"
37,述,ジュツ,の(べる),mention; state; speak
38,線,セン,すじ,line; track
39,農,ノウ,,agriculture; farmers
40,州,シュウ,す,state; province
41,武,ブ、ム,たけ(し),warrior; military; chivalry; arms
42,象,ショウ、ゾウ,かたど(る),elephant; pattern after; image; shape
43,域,イキ,,range; region; limits; stage; level
44,額,ガク,ひたい,forehead; tablet; sum; amount; volume
45,欧,オウ,,Europe
46,担,タン,かつ(ぐ)、にな(う),shouldering; carry; raise; bear
47,準,ジュン,じゅん(じる)、なぞら(える),semi-; correspond to; imitate
48,賞,ショウ,ほ(める),prize; reward; praise
49,辺,ヘン,あた(り)、ほと(り),environs; boundary; border; vicinity
50,造,ゾウ,つく(る),create; make; structure; physique
51,被,ヒ,こうむ(る)、かぶ(る),incur; cover; shelter; wear; put on
52,技,ギ,わざ,skill; art; craft; ability; vocation; arts
53,低,テイ,ひく(い),lower; short; humble
54,復,フク,また,"restore, return to, revert"
55,移,イ,うつ(る),"shift, move, change"
56,個,コ,,individual; counter for articles
57,門,モン,かど、と,gate
58,課,カ,,"chapter, lesson, section, department"
59,脳,ノウ,のうずる,brain; memory
60,極,キョク、ゴク,きわ(める),poles; settlement; conclusion; end
61,含,ガン,ふく(む),contain; include
62,蔵,ゾウ,くら,storehouse; hide; own; have; possess
63,量,リョウ,はか(る),quantity; measure; weight; amount
64,型,ケイ,かた,type; model
65,況,キョウ,まし(て),condition; situation
66,針,シン,はり,needle; pin; staple; stinger
67,専,セン,もっぱ(ら),specialty; exclusive; mainly; solely
68,谷,コク,たに、きわ(まる),valley
69,史,シ,,history; chronicle
70,階,カイ,きざはし,stair; counter for building story
71,管,カン,くだ,pipe; tube; control; jurisdiction
72,兵,ヘイ、ヒョウ,つわもの,soldier; private; troops; army
73,接,セツ,つ(ぐ),touch; contact; adjoin; piece together
74,細,サイ,ほそ(い)、こま(かい),slender; narrow; detailed; precise
75,効,コウ,き(く),merit; efficacy; efficiency; benefit
76,丸,ガン,まる、まる(い),round; full (month); perfection
77,湾,ワン,いりえ,gulf; bay; inlet
78,録,ロク,と(る),record
79,省,セイ、ショウ,かえり(みる)、はぶ(く),focus; government ministry; conserve
80,旧,キュウ,ふる(い)、もと,old times; old things; former; ex-
81,橋,キョウ,はし,bridge
82,岸,ガン,きし,beach
83,周,シュウ,まわ(り),circumference; circuit; lap
84,材,ザイ,,"lumber, log, timber, wood"
85,戸,コ,と,door; counter for houses
86,央,オウ,,center; middle
87,券,ケン,,ticket
88,編,ヘン,あ(む),compilation; knit; braid; twist; editing
89,捜,ソウ,さが(す),search; look for; locate
90,竹,チク,たけ,bamboo
91,超,チョウ,こ(える),transcend; super-; ultra-
92,並,ヘイ,な(み)、なみ、なら(べる),"row, and, besides"
93,療,リョウ,,heal; cure
94,採,サイ,と(る),pick; take; fetch; take up
95,森,シン,もり,"forest, woods"
96,競,キョウ、ケイ,きそ(う)、せ(る),compete with; bid; contest; race
97,介,カイ,,jammed in; shellfish; mediate
98,根,コン,ね,root; radical
99,販,ハン,,"marketing, sell, trade"
100,歴,レキ,,curriculum; continuation; passage of time
101,将,ショウ,まさ(に)、はた,leader; commander; general; admiral
102,幅,フク,はば,hanging scroll; width
103,般,ハン,,carrier; carry; all; general; sort; kind
104,貿,ボウ,,trade; exchange
105,講,コウ,,lecture; club; association
106,林,リン,はやし,grove; forest
107,装,ソウ、ショウ,よそお(う),attire; dress; pretend; disguise
108,諸,ショ,もろ,various; many; several; together
109,劇,ゲキ,,drama; play
110,河,カ,かわ,river
111,航,コウ,,navigate; sail; cruise; fly
112,鉄,テツ,くろがね,iron
113,児,ジ,こ,newborn babe; child
114,禁,キン,,prohibition; ban; forbid
115,印,イン,しるし,stamp; seal; mark; symbol; trademark
116,逆,ギャク,さか(らう),inverted; reverse; opposite
117,換,カン,か(える),interchange; period; change; convert; replace
118,久,キュウ、ク,ひさ(しい),long time; old story
119,短,タン,みじか(い),short; fault; defect; weak point
120,油,ユ,あぶら,oil; fat
121,暴,ボウ、バク,あば(く),outburst; force; violence
122,輪,リン,わ,wheel; ring; circle; link; loop; counter for wheels
123,占,セン,し(める)、うらな(う),fortune-telling; divining; forecasting
124,植,ショク,う(える),plant
125,清,セイ,きよ(い),pure; purify; cleanse
126,倍,バイ,,double; twice; times; fold
127,均,キン,なら(す),level; average
128,億,オク,,hundred million; 10**8
129,圧,アツ,お(す),pressure; push; overwhelm; oppress
130,芸,ゲイ,,technique; art; craft; performance; acting
131,署,ショ,,signature; govt office; police station
132,伸,シン,の(びる),expand; stretch; extend
133,停,テイ,と(める),halt; stopping
134,爆,バク,は(ぜる),bomb; burst open
135,陸,リク、ロク,おか,land; six
136,玉,ギョク,たま,jewel; ball
137,波,ハ,なみ,waves; billows
138,帯,タイ,お(びる),sash; belt; obi; zone; region
139,延,エン,の(びる),prolong; stretching
140,羽,ウ,は、わ、はね,"feathers; counter for birds, rabbits"
141,固,コ,かた(める),harden; set; clot; curdle
142,則,ソク,のっと(る),rule; follow; based on
143,乱,ラン,みだ(れる),riot; war; disorder; disturb
144,普,フ,あまね(く),universal; generally
145,測,ソク,はか(る),fathom; plan; scheme; measure
146,豊,ホウ、ブ,ゆた(か)、とよ,bountiful; excellent; rich
147,厚,コウ,あつ(い),thick; heavy; rich
148,齢,レイ,よわい、とし,age
149,囲,イ,かこ(む),surround; enclosure; preserve; keep
150,卒,ソツ,そっ(する),graduate; soldier; private; die
151,略,リャク,ほぼ,abbreviation; omission; outline; shorten
152,承,ショウ,うけたまわ(る),hear; listen to; be informed; receive
153,順,ジュン,,obey; order; turn; occasion
154,岩,ガン,いわ,boulder; rock; cliff
155,練,レン,ね(る),"practice, gloss, train, drill, polish, refine"
156,軽,ケイ,かる(い),lightly; trifling; unimportant
157,了,リョウ,,complete; finish
158,庁,チョウ,やくしょ,government office
159,城,ジョウ、セイ,しろ,castle
160,患,カン,わずら(う),afflicted; disease; suffer from; be ill
161,層,ソウ,,stratum; social class; layer; story; floor
162,版,ハン,,printing block; edition; impression; label
163,令,レイ,,orders; command; decree
164,角,カク,かど、つの,angle; corner; square
165,絡,ラク,から(む),entwine; coil around; get caught in
166,損,ソン,そこ(なう),damage; loss; disadvantage; hurt; injure
167,募,ボ,つの(る),recruit; campaign
168,裏,リ,うら,back; reverse; inside; rear
169,仏,ブツ,ほとけ,Buddha; the dead
170,績,セキ,,exploits; achievements
171,築,チク,きず(く),fabricate; build; construct
172,貨,カ,,freight; goods; property
173,混,コン,ま(じる),mix; blend; confuse
174,昇,ショウ,のぼ(る),rise up
175,池,チ,いけ,pond; pool; reservoir
176,血,ケツ,ち,blood
177,温,オン,あたた(かい)、ぬく,warm
178,季,キ,,seasons
179,星,セイ,ほし,star
180,永,エイ,なが(い),eternity; long; lengthy
181,著,チョ、チャク,あらわ(す)、いちじる(しい),renowned; publish; write
182,誌,シ,,document; records
183,庫,コ、ク,くら,warehouse; storehouse
184,刊,カン,,publish; carve; engrave
185,像,ゾウ,,statue; picture; image; figure
186,香,コウ、キョウ,かお(り),incense; smell; perfume
187,坂,ハン,さか,slope; incline; hill
188,底,テイ,そこ,bottom; sole; depth; bottom price
189,布,フ,ぬの、し(く),linen; cloth; spread; distribute
190,寺,ジ,てら,Buddhist temple
191,宇,ウ,,eaves; roof; house; heaven
192,巨,キョ,,gigantic; big; large; great
193,震,シン,ふる(う),quake; shake; tremble; quiver
194,希,キ,まれ、こいねが(う),hope; beg; request; pray
195,触,ショク,ふ(れる)、さわ(る),contact; touch; feel; hit; proclaim; announce
196,依,イ、エ,よ(る),reliant; depend on; consequently; therefore
197,籍,セキ,,enroll; register; membership
198,汚,オ,よご(す)、きたな(い)、けが(す),dirty; pollute; disgrace; defile
199,枚,マイ、バイ,,sheet of...; counter for flat thin objects
200,複,フク,,duplicate; double; compound; multiple
201,郵,ユウ,,mail; stagecoach stop
202,仲,チュウ,なか,go-between; relationship
203,栄,エイ,さか(える),flourish; prosperity; honor
204,札,サツ,ふだ,ticket; paper money; banknote; note
205,板,ハン、バン,いた,plank; board; plate; stage
206,骨,コツ,ほね,skeleton; bone; remains; frame
207,傾,ケイ,かたむ(く),lean; incline; tilt; trend; bias
208,届,カイ,とど(ける),deliver; reach; arrive; report
209,巻,カン,ま(く)、まき,scroll; volume; boo; roll up; coil; counter for texts
210,燃,ネン,も(える),burn; blaze; glow
211,跡,セキ,あと,tracks; mark; print; impression
212,包,ホウ,つつ(む)、くる(む),wrap; pack up; cover; conceal
213,駐,チュウ,,stop-over; reside in; resident
214,弱,ジャク,よわ(い),weak; frail
215,紹,ショウ,,introduce; inherit; help
216,雇,コ,やと(う),employ; hire
217,替,タイ,か(わる),"exchange, spare, substitute"
218,預,ヨ,あず(ける),deposit; custody; leave with; entrust to
219,焼,ショウ,や(く),bake; burning
220,簡,カン,えら(ぶ),simplicity; brevity
221,章,ショウ,,badge; chapter; composition; poem
222,臓,ゾウ,はらわた,entrails; viscera; bowels
223,律,リツ、リチ,,rhythm; law; regulation; control
224,贈,ゾウ,おく(る),presents; send; give to; award to
225,照,ショウ,て(る),illuminate; shine; compare
226,薄,ハク,うす(い),dilute; thin; weak (tea)
227,群,グン,む(れる)、むら(がる),flock; group; crowd; herd
228,秒,ビョウ,,second
229,奥,オウ,おく,heart; interior
230,詰,キツ,つ(める),packed; close; rebuke; blame
231,双,ソウ,ふた,pair; set; comparison; counter for pairs
232,刺,シ,さ(す)、さし、とげ,"thorn, pierce, stab, prick, sting"
233,純,ジュン,,genuine; purity; innocence
234,翌,ヨク,,the following; next
235,快,カイ,こころよ(い),cheerful; pleasant; agreeable; comfortable
236,片,ヘン,かた,one-sided; piece
237,敬,ケイ,うやま(う),awe; respect; honor; revere
238,悩,ノウ,なや(む),trouble; worry; in pain; distress; illness
239,泉,セン,いずみ,spring; fountain
240,皮,ヒ,かわ,skin; hide; leather
241,漁,ギョ、リョウ,あさ(る),fishing; fishery
242,荒,コウ,あら(い)、あ(れる),rough; wild
243,貯,チョ,た(める),savings; store
244,硬,コウ,かた(い),stiff; hard
245,埋,マイ,う(める),bury; be filled up; embedded
246,柱,チュウ,はしら,pillar; post; cylinder; support
247,祭,サイ,まつり,ritual; offer prayers; celebrate
248,袋,タイ,ふくろ,sack; bag; pouch
249,筆,ヒツ,ふで,writing brush; writing; painting brush
250,訓,クン,よ(む)、くん(ずる),"instruction, explanation, read"
251,浴,ヨク,あ(びる),bathe; be favored with; bask in
252,童,ドウ,わらべ,juvenile; child
253,宝,ホウ,たから,treasure; wealth; valuables
254,封,フウ、ホウ,,seal; closing
255,胸,キョウ,むね,bosom; breast; chest; heart; feelings
256,砂,サ、シャ,すな,sand
257,塩,エン,しお,salt
258,賢,ケン,かしこ(い),intelligent; wise; wisdom; cleverness
259,腕,ワン,うで,arm; ability; talent
260,兆,チョウ,きざ(す),trillion; sign; omen; symptoms
261,床,ショウ,とこ、ゆか,bed; counter for beds; floor; padding; tatami
262,毛,モウ,け,fur; hair; feather
263,緑,リョク、ロク,みどり,green
264,尊,ソン,とうと(い),revered; valuable; precious; noble
265,祝,シュク,いわ(う),celebrate; congratulate
266,柔,ジュウ、ニュウ,やわ(らかい),tender; weakness; gentleness; softness
267,殿,デン,との、どの,Mr.; hall; mansion; palace; temple; lord
268,濃,ノウ,こ(い),concentrated; thick; dark; undiluted
269,液,エキ,,fluid; liquid; juice; sap; secretion
270,衣,イ、エ,ころも、きぬ,garment; clothes; dressing
271,肩,ケン,かた,shoulder
272,零,レイ,ぜろ,zero; spill; overflow; nothing
273,幼,ヨウ,おさな(い),infancy; childhood
274,荷,カ,に,baggage; load; cargo; freight
275,泊,ハク,と(まる),overnight stay
276,黄,コウ、オウ,き,yellow
277,甘,カン,あま(い),sweet; coax; pamper; sugary
278,臣,シン、ジン,,retainer; subject
279,浅,セン,あさ(い),shallow; superficial
280,掃,ソウ,は(く),sweep; brush
281,雲,ウン,くも,cloud
282,掘,クツ,ほ(る),dig; delve; excavate
283,捨,シャ,す(てる),discard; throw away; abandon
284,軟,ナン,やわ(らかい),soft
285,沈,チン、ジン,しず(む),sink; be submerged; subside; be depressed
286,凍,トウ,こお(る)、こご(える),frozen; refrigerate
287,乳,ニュウ,ちち、ち,"milk, breasts"
288,恋,レン,こい(しい),romance; in love; yearn for; miss
289,紅,コウ、ク,べに、くれない,crimson; deep red
290,郊,コウ,,"outskirts, suburbs, rural area"
291,腰,ヨウ,こし,loins; hips; waist
292,炭,タン,すみ,charcoal; coal
293,踊,ヨウ,おど(る),jump; dance; leap; skip
294,冊,サツ,,counter for books; volume
295,勇,ユウ,いさ(む),courage; cheer up; bravery
296,械,カイ,,contraption; machine; instrument
297,菜,サイ,な,vegetable; side dish; greens
298,珍,チン,めずら(しい),rare; curious; strange
299,卵,ラン,たまご,egg
300,湖,コ,みずうみ,lake
301,喫,キツ,の(む),"consume, eat, drink, smoke"
302,干,カン,ほ(す)、ひ(る),dry; parch
303,虫,チュウ、キ,むし,insect; bug
304,刷,サツ,す(る)、は(く),printing; print; brush
305,湯,トウ,ゆ,hot water; bath; hot spring
306,溶,ヨウ,と(ける),melt; dissolve; thaw
307,鉱,コウ,あらがね,mineral; ore
308,涙,ルイ,なみだ,tears; sympathy
309,匹,ヒツ,ひき,counter for small animals
310,孫,ソン,まご,grandchild; descendants
311,鋭,エイ,するど(い),pointed; sharpness; edge; weapon; sharp; violent
312,枝,シ,えだ,bough; branch; twig; limb; counter for branches
313,塗,ト,ぬ(る)、ぬ(り),paint; smear; coating
314,軒,ケン,のき,flats; counter for houses
315,毒,ドク,,poison; germ; harm
316,叫,キョウ,さけ(ぶ),shout; exclaim; yell
317,拝,ハイ,おが(む),worship; adore; pray to
318,氷,ヒョウ,こおり、ひ,ice; hail; freeze
319,乾,カン,かわ(く),drought; dry; drink up; heaven
320,棒,ボウ,,rod; stick; cane; pole
321,祈,キ,いの(る),pray; wish
322,拾,シュウ,ひろ(う),pick up; gather; find
323,粉,フン,こな,flour; powder; dust
324,糸,シ,いと,thread
325,綿,メン,わた,cotton
326,汗,カン,あせ,sweat; perspire
327,銅,ドウ,あかがね,copper
328,湿,シツ,しめ(る),damp; wet; moist
329,瓶,ビン,かめ、へい,bottle; jar; jug; urn
330,咲,ショウ,さ(く),blossom; bloom
331,召,ショウ,め(す),"call; send for; wear; buy, to eat, to drink"
332,缶,カン,かま,tin can; container
333,隻,セキ,,vessels; counter for ships; fish; one of a pair
334,脂,シ,あぶら,fat; grease; lard
335,蒸,ジョウ、セイ,む(す),steam; heat; foment
336,肌,キ,はだ,texture; skin; body; grain
337,耕,コウ,たがや(す),till; plow; cultivate
338,鈍,ドン,にぶ(い)、なまく(ら),dull; slow; foolish; blunt
339,泥,デイ,どろ,mud; adhere to; attached to
340,隅,グウ,すみ,corner; nook
341,灯,トウ,ひ、とも(す),lamp; a light; counter for lights
342,辛,シン,から(い)、つら(い),spicy; hot
343,磨,マ,みが(く),grind; polish; improve; brush (teeth)
344,麦,バク,むぎ,barley; wheat
345,姓,セイ、ショウ,,surname
346,筒,トウ,つつ,cylinder; pipe; tube
347,鼻,ビ,はな,nose; snout
348,粒,リュウ,つぶ,grains; drop; counter for tiny particles
349,詞,シ,,part of speech; words
350,胃,イ,,stomach; crop
351,畳,ジョウ、チョウ,たたみ,tatami mat; fold
352,机,キ,つくえ,desk; table
353,膚,フ,はだ,skin; body; texture
354,濯,タク,すす(ぐ),laundry; wash; rinse
355,塔,トウ,,pagoda; tower; steeple
356,沸,フツ,わ(く),seethe; boil; ferment
357,灰,カイ,はい,ashes; cremate
358,菓,カ,,candy; cakes; fruit
359,帽,ボウ,,cap; headgear
360,枯,コ,か(れる),wither; die; dry up
361,涼,リョウ,すず(しい),refreshing; nice and cool
362,舟,シュウ,ふね,boat; ship
363,貝,バイ,かい,shellfish
364,符,フ,,token; sign; mark
365,憎,ゾウ,にく(む),hate; detest
366,皿,ベイ,さら、ざら,dish; a helping; plate
367,肯,コウ,がえんじ(る),agreement; consent
368,燥,ソウ,はしゃ(ぐ),parch; dry up
369,畜,チク,,livestock
370,坊,ボウ、ボッ,,"boy, priest"
371,挟,キョウ,はさ(む),pinch; between
372,曇,ドン,くも(る),cloudy weather
373,滴,テキ,しずく、したた(る),drip; drop
374,伺,シ,うかが(う),visit; ask; inquire; question
